event_date, interface_type, app_version, num_visit, num_search, num_product_viewed, num_add_to_cart, num_checkout, num_payment_selected, num_booking_created, num_session_visit, num_session_search, num_session_product_viewed, num_session_add_to_cart, num_session_checkout, num_session_payment_selected, num_session_booking_created
2019-02-28,ANDROID,2.5.3,155,179,61,36,10,10,5,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.6.1,143,97,16,11,3,2,2,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.7.0,0,0,0,0,0,0,0,107,107,23,24,3,3,3
2019-02-28,ANDROID,2.7.1,0,0,0,0,0,0,0,2056,2147,530,365,52,34,20
2019-02-28,ANDROID,2.7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.8.0,0,0,0,0,0,0,0,435,450,121,58,10,5,4
2019-02-28,ANDROID,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,1.10.0,13,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,1.9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.3.0,19,8,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.5.1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.5.2,66,45,23,21,7,3,2,0,0,0,0,0,0,0
2019-02-28,IOS,2.5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.6.0,20,5,3,1,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.7.0,0,0,0,0,0,0,0,18,6,2,0,0,0,0
2019-02-28,IOS,2.7.1,0,0,0,0,0,0,0,5,2,0,0,0,0,0
2019-02-28,IOS,2.7.2,0,0,0,0,0,0,0,572,258,84,88,8,11,6
2019-02-28,IOS,2.8.0,0,0,0,0,0,0,0,509,311,106,99,7,7,5
2019-02-28,IOS,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,IOS,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,1.10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,1.9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.7.1,0,0,0,0,0,0,0,4,2,0,0,0,0,0
2019-02-29,ANDROID,2.7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.8.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
2019-02-29,ANDROID,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,ANDROID,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,1.10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,1.9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.8.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2019-02-29,IOS,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-29,IOS,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,1.10.0,29,12,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,1.9.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.0.1,9,6,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.0.2,37,30,6,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.1.0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.1.1,21,12,1,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.2.0,9,8,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.3.1,32,48,18,13,1,1,1,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.4.0,36,38,7,11,1,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.5.0,20,23,1,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.5.2,25,22,2,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.5.3,110,73,16,11,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.6.1,137,108,19,4,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.7.0,0,0,0,0,0,0,0,75,65,4,6,1,1,1
2019-03-01,ANDROID,2.7.1,0,0,0,0,0,0,0,2147,2191,465,255,45,25,16
2019-03-01,ANDROID,2.7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.8.0,0,0,0,0,0,0,0,365,375,90,61,6,3,3
2019-03-01,ANDROID,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,ANDROID,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,1.10.0,14,6,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,1.9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.0.2,10,2,1,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
